Sl No,Street Address - A location,City,State,Postal Code - A location,"COUNTRY NAME
(spelled out)",Street Address - Z location,City,State,Postal Code - Z location,"COUNTRY NAME
(spelled out)",GLM ID A location,GLM ID Z location,Floor/Room,Phone Number        (Required for EMEA/LATM for Offnet - ROC),Site Contact Name        (Required for EMEA/LATM for Offnet - ROC),GPS Coordinates                    (Required for EMEA/LATM for Offnet - ROC),A Loc Building Extension,Z Loc Building Extension,Access Bandwidth,Encrypted Wave? (Only available on 10GB and above OnNet Waves in NA and EU),A Access Service Type,Z Access Service Type,Circuit Protection                                                                             (Required),Latency Guarantee Level,Diversity Required,Custom Route,Term Length,Number of Circuits with the Same Configuration,Telecom Service Priority ,Z Loc 3rd Party X-Connect,A Loc 3rd Party X-Connect
70,5855 PEACHTREE CORNERS CIR,NORCROSS,GEORGIA,30092,US,624 S GRAND AVE,ANGELES,CALIFORNIA,90017,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
71,5855 PEACHTREE CORNERS CIR,NORCROSS,GEORGIA,30092,US,350 E CERMAK RD,CHICAGO,ILLINOIS,60616,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
72,5855 PEACHTREE CORNERS CIR,NORCROSS,GEORGIA,30092,US,21715 FILIGREE CT,ASHBURN,VIRGINIA,20147,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
73,6200 Oak Tree BLVD,INDEPENDENCE,OHIO,44131,US,55 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
74,6200 OAK TREE BLVD,INDEPENDENCE,OHIO,44131,US,56 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
75,6200 OAK TREE BLVD,INDEPENDENCE,OHIO,44131,US,421 W CHURCH ST,JACKSONVILLE,FLORIDA,32202,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
76,6200 OAK TREE BLVD,INDEPENDENCE,OHIO,44131,US,36 NE 2ND ST,MIAMI,FLORIDA,33132,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
77,6200 OAK TREE BLVD,INDEPENDENCE,OHIO,44131,US,1950 N STEMMONS FWY,DALLAS,TEXAS,75207,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
78,6200 OAK TREE BLVD,INDEPENDENCE,OHIO,44131,US,624 S GRAND AVE,ANGELES,CALIFORNIA,90017,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
79,6200 OAK TREE BLVD,INDEPENDENCE,OHIO,44131,US,350 E CERMAK RD,CHICAGO,ILLINOIS,60616,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
80,6200 OAK TREE BLVD,INDEPENDENCE,OHIO,44131,US,21715 FILIGREE CT,ASHBURN,VIRGINIA,20147,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
81,6378 CENTER DR,NORFOLK,VIRGINIA,23502,US,55 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
82,6378 CENTER DR,NORFOLK,VIRGINIA,23502,US,56 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
83,6378 CENTER DR,NORFOLK,VIRGINIA,23502,US,421 W CHURCH ST,JACKSONVILLE,FLORIDA,32202,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
84,6378 CENTER DR,NORFOLK,VIRGINIA,23502,US,36 NE 2ND ST,MIAMI,FLORIDA,33132,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
